id,name,description,resource_type,website,twitter,facebook,instagram,snapchat,address_line1,address_line2,address_line3,city_name,state,zip_code,leadership,public_phone,public_email,hours,latitude,longitude,is_active,is_pending,date_created,account_id,audio_id,image_id,video
1,Diabetic Garden of Eating,,Community Garden,,,,,,3001 James Ave N,,,Minneapolis,MN,55411,,651.800.6024,,,45.01153,-93.30096,TRUE,FALSE,2016-06-03 14:14:14,,,,
2,15th Avenue N. Community Garden,,Community Garden,,,,,,1312 15th Avenue N,,,Minneapolis,MN,55411,,612.354.2553,,,44.99448,-93.29792,TRUE,FALSE,2016-06-03 14:14:14,,,,
3,Bryant Dupont Block Club/ Lower Hawthorne Community Garden,,Community Garden,,,,,,2131 Bryant Ave N,,,Minneapolis,MN,55411,,,,,45.00138,-93.29049,TRUE,FALSE,2016-06-03 14:14:14,,,,
4,North End Community Garden (Project Sweetie Pie),,Community Garden,,,,,,3031 Penn Ave N,,,Minneapolis,MN,55411,,,,,45.01235,-93.30843,TRUE,FALSE,2016-06-03 14:14:14,,,,
5,Karamu Garden (Project Sweetie Pie),,Community Garden,http://www.pricoldclimate.org/programs/education/farming-programs/item/341-apprentice-site-project-sweetie-pie,,,,,1600 Plymouth Ave,,,Minneapolis,MN,55411,,763.227.4881,,,44.9917,-93.30098,TRUE,FALSE,2016-06-03 14:14:14,,,,
6,(Project Sweetie Pie & Afro Eco) 12th & Morgan,,Community Garden,projectsweetiepie.org,,,,,1119 Morgan Ave N,,,Minneapolis,MN,55411,,763.227.4882,,,44.98946,-93.30449,TRUE,FALSE,2016-06-03 14:14:14,,,,
7,The Story Garden,,Community Garden,,,,,,3502 Humboldt Ave N,,,Minneapolis,MN,55412,,,,,45.01874,-93.29788,TRUE,FALSE,2016-06-03 14:14:14,,,,
8,Hawthorne EcoVillage Community Garden,,Community Garden,,,,,,616 31st Ave N,,,Minneapolis,MN,55411,,,,,45.01214,-93.28727,TRUE,FALSE,2016-06-03 14:14:14,,,,
9,Sheridan Ave Community Garden,,Community Garden,,,,,,Sheridan Ave N & Oak Park Ave N,,,Minneapolis,MN,55411,,,,,44.98791,-93.31291,TRUE,FALSE,2016-06-03 14:14:14,,,,
10,Neighborly Needs Community Garden,,Community Garden,,,,,,1729 Lyndale Ave N,,,Minneapolis,MN,55411,,612.414.3239,,,44.99723,-93.288325,TRUE,FALSE,2016-06-03 14:14:14,,,,
11,Appetite for Growing Garden,,Community Garden,fcmn.org,,,,,1722 26th Ave N,,,Minneapolis,MN,55411,,,,,45.006197,-93.301659,TRUE,FALSE,2016-06-03 14:14:14,,,,
12,Agape Peace Garden,,Community Garden,oasisoflove.org,,,,,2305 Emerson Ave N,,,Minneapolis,MN,55411,,612.287.9775,,,45.002909,-93.294521,TRUE,FALSE,2016-06-03 14:14:14,,,,
13,South Hawthorne Community Garden,,Community Garden,,,,,,2123 6th St. N,,,Minneapolis,MN,55411,,,,,45.000961,-93.28689,TRUE,FALSE,2016-06-03 14:14:14,,,,
